[ 2017-07-07T14:15:52+08:00 ] 127.0.0.1 /MemberMsg/index
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005961s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005079s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006479s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT `groupid` FROM `user` WHERE id='24' LIMIT 1   [ RunTime:0.004930s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005857s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006010s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT `typeid` FROM `user` WHERE id=24 LIMIT 1   [ RunTime:0.005444s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005562s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=24 and at.status=1 LIMIT 1   [ RunTime:0.005555s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SHOW COLUMNS FROM `welive_msg` [ RunTime:0.006184s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT `fro_to_id`,max(created) max_created FROM `welive_msg` WHERE ( `fro_to_id` LIKE '%\\_24' ) GROUP BY fro_to_id ORDER BY type asc,created asc  [ RunTime:0.005166s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SHOW COLUMNS FROM member m [ RunTime:0.005203s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT m.id,mi.names,m.username,m.mobile FROM member m LEFT JOIN member_info mi on mi.memberid = m.id WHERE ( m.id = '31' ) LIMIT 1   [ RunTime:0.005092s ]
[ 2017-07-07T14:15:52+08:00 ] /MemberMsg/index | SQL: SELECT COUNT(*) AS tp_count FROM `welive_msg` WHERE ( `fro_to_id` = '31_24' ) AND ( `type` = 0 ) LIMIT 1   [ RunTime:0.005588s ]
