[ 2017-06-16T15:17:21+08:00 ] 127.0.0.1 /User/index.html
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006939s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006123s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005849s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.007763s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005795s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005710s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008008s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007424s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005932s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.006114s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006590s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007646s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005613s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT * FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006596s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005587s ]
[ 2017-06-16T15:17:21+08:00 ] /User/index.html | SQL: SELECT COUNT(*) AS tp_count FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) LIMIT 1   [ RunTime:0.006588s ]
