[ 2017-07-28T09:29:18+08:00 ] 127.0.0.1 /
[ 2017-07-28T09:29:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-07-28T09:29:18+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-07-28T09:29:18+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000439s ]
[ 2017-07-28T09:29:18+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000488s ]
[ 2017-07-28T09:29:18+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-07-28T09:29:18+08:00 ] / | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006553s ]
[ 2017-07-28T09:29:18+08:00 ] / | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.007116s ]
[ 2017-07-28T09:29:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-07-28T09:29:18+08:00 ] / | SQL: SELECT * FROM `member` WHERE ( `mobile` = '18952732576' ) AND ( `business_company_id` = '35' ) AND ( `password` = 'a21f9c285895eb79edf2964c9d36fbc8' ) LIMIT 1   [ RunTime:0.006456s ]
[ 2017-07-28T09:29:18+08:00 ] / | NOTIC: [8] Undefined variable: preKey Member.class.php 第 415 行.
[ 2017-07-28T09:29:18+08:00 ] / | NOTIC: [8] Undefined index: errorCount Member.class.php 第 416 行.
[ 2017-07-28T09:29:18+08:00 ] / | NOTIC: [8] Undefined index: errorTime Member.class.php 第 417 行.

