[ 2017-06-28T15:12:17+08:00 ] 127.0.0.1 /Member/Login?redirecturl=Member%2Faccount
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ route_check ] --START--
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run CheckRoute Behavior [ RunTime:0.000447s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.000534s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ app_begin ] --START--
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000397s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000429s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 129 行.
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | NOTIC: [8] Undefined index: token CommonAction.class.php 第 63 行.
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ view_template ] --START--
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run LocationTemplate Behavior [ RunTime:0.000311s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ view_template ] --END-- [ RunTime:0.000351s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ view_parse ] --START--
