[ 2017-05-16T15:34:45+08:00 ] 127.0.0.1 /
[ 2017-05-16T15:34:45+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-05-16T15:34:45+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012479s ]
[ 2017-05-16T15:34:45+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012575s ]

[ 2017-05-16T15:37:05+08:00 ] 127.0.0.1 /
[ 2017-05-16T15:37:05+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-05-16T15:37:05+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000329s ]
[ 2017-05-16T15:37:05+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000395s ]

[ 2017-05-16T15:39:09+08:00 ] 127.0.0.1 /
[ 2017-05-16T15:39:09+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-05-16T15:39:09+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000324s ]
[ 2017-05-16T15:39:09+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000431s ]

[ 2017-05-16T15:49:55+08:00 ] 127.0.0.1 /
[ 2017-05-16T15:49:55+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-05-16T15:49:55+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000337s ]
[ 2017-05-16T15:49:55+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000413s ]

[ 2017-05-16T16:19:29+08:00 ] 127.0.0.1 /
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000690s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000810s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000774s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000839s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-05-16T16:19:29+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.013387s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013466s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000562s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000539s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000431s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000577s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002264s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000636s ]
[ 2017-05-16T16:19:29+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000689s ]

[ 2017-05-16T16:19:47+08:00 ] 127.0.0.1 /
[ 2017-05-16T16:19:47+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-05-16T16:19:47+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000256s ]
[ 2017-05-16T16:19:47+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000314s ]
[ 2017-05-16T16:19:47+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-05-16T16:19:47+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000372s ]
[ 2017-05-16T16:19:47+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000401s ]
[ 2017-05-16T16:19:47+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-05-16T16:19:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-16T16:19:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-16T16:19:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-16T16:19:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-16T16:19:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-16T16:19:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-16T16:19:47+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
