[ 2017-07-05T11:15:40+08:00 ] 127.0.0.1 /Index/getMessageJson
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | INFO: Tag[ route_check ] --START--
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | INFO: Run CheckRoute Behavior [ RunTime:0.001392s ]
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | INFO: Tag[ route_check ] --END-- [ RunTime:0.001580s ]
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | INFO: Tag[ app_begin ] --START--
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001104s ]
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001195s ]
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 131 行.
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\newjieba1\www\Lib\Action\CommonAction.class.php on line 158 and defined Action.class.php 第 305 行.
[ 2017-07-05T11:15:40+08:00 ] /Index/getMessageJson | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-07-05T11:15:45+08:00 ] 127.0.0.1 /Index/getMessageJson
[ 2017-07-05T11:15:45+08:00 ] /Index/getMessageJson | INFO: Tag[ route_check ] --START--
[ 2017-07-05T11:15:45+08:00 ] /Index/getMessageJson | INFO: Run CheckRoute Behavior [ RunTime:0.000996s ]
