[ 2017-06-29T17:16:01+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-06-29T17:16:11+08:00 ] 127.0.0.1 /Loan/check_sign
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | INFO: Tag[ route_check ] --START--
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | INFO: Run CheckRoute Behavior [ RunTime:0.000710s ]
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | INFO: Tag[ route_check ] --END-- [ RunTime:0.000871s ]
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | INFO: Tag[ app_begin ] --START--
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000397s ]
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000422s ]
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 131 行.
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\newjieba1\www\Lib\Action\CommonAction.class.php on line 162 and defined Action.class.php 第 305 行.
[ 2017-06-29T17:16:11+08:00 ] /Loan/check_sign | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-06-29T17:16:38+08:00 ] 127.0.0.1 /Loan/check_sign
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | INFO: Tag[ route_check ] --START--
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | INFO: Run CheckRoute Behavior [ RunTime:0.000380s ]
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | INFO: Tag[ route_check ] --END-- [ RunTime:0.000438s ]
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | INFO: Tag[ app_begin ] --START--
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000295s ]
[ 2017-06-29T17:16:38+08:00 ] /Loan/check_sign | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000317s ]
