[ 2017-07-05T09:04:04+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-05T09:04:04+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-05T09:04:09+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007025s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005735s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006484s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.006370s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005844s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005785s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-05 09:04:09',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.005747s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-05 09:04:09',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.005737s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.005799s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.005700s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='452371126107210cdb446028cb10134c',`username`='baidu',`logintime`='2017-07-05 09:04:09' WHERE username='baidu' [ RunTime:0.004832s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005732s ]

[ 2017-07-05T09:04:09+08:00 ] 127.0.0.1 /
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006074s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005115s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006083s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.005386s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005378s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007501s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=9 LIMIT 1   [ RunTime:0.005385s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005343s ]
[ 2017-07-05T09:04:09+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=9 and at.status=1 LIMIT 1   [ RunTime:0.005348s ]

[ 2017-07-05T09:04:09+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006684s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006055s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007094s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.005116s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.005555s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005164s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006862s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `typeid` FROM `user` WHERE id=9 LIMIT 1   [ RunTime:0.005369s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005836s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=9 and at.status=1 LIMIT 1   [ RunTime:0.005782s ]
[ 2017-07-05T09:04:09+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='3' ORDER BY sort desc,timeadd asc  [ RunTime:0.006347s ]

[ 2017-07-05T09:04:09+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-05T09:04:10+08:00 ] 127.0.0.1 /Index/system
