[ 2017-06-27T15:40:55+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-06-27T15:41:11+08:00 ] 127.0.0.1 /Member/register
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Tag[ route_check ] --START--
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Run CheckRoute Behavior [ RunTime:0.001150s ]
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001413s ]
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Tag[ app_begin ] --START--
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000583s ]
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000615s ]
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 112 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Tag[ view_template ] --START--
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Run LocationTemplate Behavior [ RunTime:0.000559s ]
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.000588s ]
[ 2017-06-27T15:41:11+08:00 ] /Member/register | INFO: Tag[ view_parse ] --START--
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [2] file_get_contents(Public:header.php): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-27T15:41:11+08:00 ] /Member/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
